element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
Sn,recipes/Sn/ccECP,Sn.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Sn:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Sn/Sn.ccECP.cfour
Ta,recipes/Ta/ccECP,Ta.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ta:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ta/Ta.ccECP.cfour
Tb,recipes/Tb/ccECP,Tb.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Tb:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Tb/Tb.ccECP.cfour
Te,recipes/Te/ccECP,Te.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Te:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Te/Te.ccECP.cfour
Ti,recipes/Ti/ccECP,Ti.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ti:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ti/Ti.ccECP.cfour
V,recipes/V/ccECP,V.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,V:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/V/V.ccECP.cfour
W,recipes/W/ccECP,W.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,W:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/W/W.ccECP.cfour
Y,recipes/Y/ccECP,Y.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Y:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Y/Y.ccECP.cfour
Zn,recipes/Zn/ccECP,Zn.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Zn:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Zn/Zn.ccECP.cfour
Zr,recipes/Zr/ccECP,Zr.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Zr:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Zr/Zr.ccECP.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pCV5Z.gamess,basis,ccECP,aug-cc-pCV5Z,aug-cc-pCV5Z-ccECP,-ccECP,Ag:aug-cc-pCV5Z-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCV5Z -> aug-cc-pCV5Z-ccECP,by_element/Ag/Ag.aug-cc-pCV5Z.cfour
Ag,recipes/Ag/ccECP,Ag.aug-cc-pCVDZ.gamess,basis,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ-ccECP,-ccECP,Ag:aug-cc-pCVDZ-ccECP,PASS,source library name retained as the label stem; declared disambiguating suffix '-ccECP' appended: aug-cc-pCVDZ -> aug-cc-pCVDZ-ccECP,by_element/Ag/Ag.aug-cc-pCVDZ.cfour
