element,atomic_number,source_recipe_dir,source_filename,source_format,all_source_formats,library_family,library_name,cfour_name,label_suffix,cfour_label,ncore,n_explicit_electrons,lmax,local_channel,nonlocal_channels,n_terms_per_channel,radial_powers,precision_digits_per_format,radial_power_convention,local_channel_convention,name_transformation,validation,cfour_file
C,6,recipes/C/ccECP,C.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,C:ccECP,2,4,1,p,s-p,p:3;s-p:1,1;2;3,gamess:47;gaussian:47;molpro:47;nwchem:47;plain:47,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/C/C.ccECP.cfour
Ca,20,recipes/Ca/ccECP,Ca.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ca:ccECP,10,10,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:235;gaussian:203;molpro:235;nwchem:235,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ca/Ca.ccECP.cfour
Cd,48,recipes/Cd/ccECP,Cd.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Cd:ccECP,28,20,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:152;gaussian:152;molpro:152;nwchem:152,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Cd/Cd.ccECP.cfour
Ce,58,recipes/Ce/ccECP,Ce.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ce:ccECP,46,12,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:148;gaussian:148;molpro:148;nwchem:148,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ce/Ce.ccECP.cfour
Cl,17,recipes/Cl/ccECP,Cl.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Cl:ccECP,10,7,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:98;gaussian:98;molpro:98;nwchem:98,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Cl/Cl.ccECP.cfour
Co,27,recipes/Co/ccECP,Co.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Co:ccECP,10,17,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:154;gaussian:154;molpro:243;nwchem:154;plain:154,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Co/Co.ccECP.cfour
Cr,24,recipes/Cr/ccECP,Cr.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Cr:ccECP,10,14,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:149;gaussian:149;molpro:224;nwchem:149;plain:149,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Cr/Cr.ccECP.cfour
Cs,55,recipes/Cs/ccECP,Cs.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Cs:ccECP,46,9,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:140;gaussian:140;molpro:140;nwchem:140,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Cs/Cs.ccECP.cfour
Cu,29,recipes/Cu/ccECP,Cu.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Cu:ccECP,10,19,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:155;gaussian:155;molpro:243;nwchem:155;plain:155,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Cu/Cu.ccECP.cfour
Eu,63,recipes/Eu/ccECP,Eu.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Eu:ccECP,46,17,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:167;gaussian:167;molpro:167;nwchem:167,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Eu/Eu.ccECP.cfour
F,9,recipes/F/ccECP,F.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,F:ccECP,2,7,1,p,s-p,p:3;s-p:1,1;2;3,gamess:113;gaussian:97;molpro:113;nwchem:113,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/F/F.ccECP.cfour
Fe,26,recipes/Fe/ccECP,Fe.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Fe:ccECP,10,16,2,d,s-d;p-d,d:4;s-d:2;p-d:2,1;2;3,gamess:150;gaussian:150;molpro:227;nwchem:150;plain:150,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Fe/Fe.ccECP.cfour
Ga,31,recipes/Ga/ccECP,Ga.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ga:ccECP,28,3,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:286;gaussian:247;molpro:286;nwchem:286,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ga/Ga.ccECP.cfour
Gd,64,recipes/Gd/ccECP,Gd.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Gd:ccECP,46,18,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:171;gaussian:171;molpro:171;nwchem:171,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Gd/Gd.ccECP.cfour
Ge,32,recipes/Ge/ccECP,Ge.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ge:ccECP,28,4,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:247;gaussian:247;molpro:247;nwchem:247,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ge/Ge.ccECP.cfour
H,1,recipes/H/ccECP,H.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,H:ccECP,0,1,1,p,s-p,p:3;s-p:1,1;2;3,gamess:82;gaussian:72;molpro:82;nwchem:82,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/H/H.ccECP.cfour
He,2,recipes/He/ccECP,He.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,He:ccECP,0,2,1,p,s-p,p:3;s-p:1,1;2;3,gamess:23;gaussian:23;molpro:23;nwchem:23,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/He/He.ccECP.cfour
I,53,recipes/I/ccECP,I.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,I:ccECP,46,7,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:134;gaussian:134;molpro:134;nwchem:134;plain:174,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/I/I.ccECP.cfour
Ir,77,recipes/Ir/ccECP,Ir.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Ir:ccECP,60,17,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:181;gaussian:181;molpro:181;nwchem:181;plain:227,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ir/Ir.ccECP.cfour
