element,atomic_number,recipe_dir,library_family,ecp_source_files,ecp_source_used,ncore,n_explicit_electrons,lmax,local_ecp_channel,nonlocal_ecp_channels,n_basis_sets,basis_names,basis_source_formats,ecp_validation,anomalies
Sb,51,recipes/Sb/ccECP,ccECP,gamess=Sb.ccECP.gamess;gaussian=Sb.ccECP.gaussian;molpro=Sb.ccECP.molpro;nwchem=Sb.ccECP.nwchem,Sb.ccECP.gamess,46,5,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;molpro;nwchem,PASS,library files present but not used: Sb.ccECP.AREP.rpt;Sb.ccECP.AREP.upf;Sb.ccECP.AREP.xml;Sb.ccECP.SOREP.rpt;Sb.ccECP.SOREP.upf;Sb.ccECP.SOREP.xml;Sb.ccECP.dirac;autoauxc_jobs
Sc,21,recipes/Sc/ccECP,ccECP,gamess=Sc.ccECP.gamess;gaussian=Sc.ccECP.gaussian;molpro=Sc.ccECP.molpro;nwchem=Sc.ccECP.nwchem;plain=Sc.ccECP,Sc.ccECP.gamess,10,11,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Sc.ccECP.rpt;Sc.ccECP.upf;Sc.ccECP.xml;autoauxc_jobs
Se,34,recipes/Se/ccECP,ccECP,gamess=Se.ccECP.gamess;gaussian=Se.ccECP.gaussian;molpro=Se.ccECP.molpro;nwchem=Se.ccECP.nwchem,Se.ccECP.gamess,28,6,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Se.ccECP.rpt;Se.ccECP.upf;Se.ccECP.xml;autoauxc_jobs
Si,14,recipes/Si/ccECP,ccECP,gamess=Si.ccECP.gamess;gaussian=Si.ccECP.gaussian;molpro=Si.ccECP.molpro;nwchem=Si.ccECP.nwchem,Si.ccECP.gamess,10,4,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Si.ccECP.rpt;Si.ccECP.upf;Si.ccECP.xml;autoauxc_jobs
Sn,50,recipes/Sn/ccECP,ccECP,gamess=Sn.ccECP.gamess;gaussian=Sn.ccECP.gaussian;molpro=Sn.ccECP.molpro;nwchem=Sn.ccECP.nwchem,Sn.ccECP.gamess,46,4,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Sn.ccECP.AREP.rpt;Sn.ccECP.AREP.upf;Sn.ccECP.AREP.xml;Sn.ccECP.SOREP.rpt;Sn.ccECP.SOREP.upf;Sn.ccECP.SOREP.xml;Sn.ccECP.dirac;autoauxc_jobs
Ta,73,recipes/Ta/ccECP,ccECP,gamess=Ta.ccECP.gamess;gaussian=Ta.ccECP.gaussian;molpro=Ta.ccECP.molpro;nwchem=Ta.ccECP.nwchem,Ta.ccECP.gamess,60,13,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ta.ccECP.AREP.rpt;Ta.ccECP.AREP.upf;Ta.ccECP.AREP.xml;Ta.ccECP.SOREP.rpt;Ta.ccECP.SOREP.upf;Ta.ccECP.SOREP.xml;Ta.ccECP.dirac;autoauxc_jobs
Tb,65,recipes/Tb/ccECP,ccECP,gamess=Tb.ccECP.gamess;gaussian=Tb.ccECP.gaussian;molpro=Tb.ccECP.molpro;nwchem=Tb.ccECP.nwchem,Tb.ccECP.gamess,46,19,4,g,s-g;p-g;d-g;f-g,12,aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Tb.ccECP.AREP.rpt;Tb.ccECP.AREP.upf;Tb.ccECP.AREP.xml;Tb.ccECP.SOREP.rpt;Tb.ccECP.SOREP.upf;Tb.ccECP.SOREP.xml;Tb.ccECP.dirac;autoauxc_jobs
Te,52,recipes/Te/ccECP,ccECP,gamess=Te.ccECP.gamess;gaussian=Te.ccECP.gaussian;molpro=Te.ccECP.molpro;nwchem=Te.ccECP.nwchem;plain=Te.ccECP,Te.ccECP.gamess,46,6,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Te.ccECP.AREP.rpt;Te.ccECP.AREP.upf;Te.ccECP.AREP.xml;Te.ccECP.SOREP.rpt;Te.ccECP.SOREP.upf;Te.ccECP.SOREP.xml;Te.ccECP.dirac;autoauxc_jobs
Ti,22,recipes/Ti/ccECP,ccECP,gamess=Ti.ccECP.gamess;gaussian=Ti.ccECP.gaussian;molpro=Ti.ccECP.molpro;nwchem=Ti.ccECP.nwchem;plain=Ti.ccECP,Ti.ccECP.gamess,10,12,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ti.ccECP.rpt;Ti.ccECP.upf;Ti.ccECP.xml;autoauxc_jobs
V,23,recipes/V/ccECP,ccECP,gamess=V.ccECP.gamess;gaussian=V.ccECP.gaussian;molpro=V.ccECP.molpro;nwchem=V.ccECP.nwchem;plain=V.ccECP,V.ccECP.gamess,10,13,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: V.ccECP.rpt;V.ccECP.upf;V.ccECP.xml;autoauxc_jobs
W,74,recipes/W/ccECP,ccECP,gamess=W.ccECP.gamess;gaussian=W.ccECP.gaussian;molpro=W.ccECP.molpro;nwchem=W.ccECP.nwchem;plain=W.ccECP,W.ccECP.gamess,60,14,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: W.ccECP.AREP.rpt;W.ccECP.AREP.upf;W.ccECP.AREP.xml;W.ccECP.SOREP.rpt;W.ccECP.SOREP.upf;W.ccECP.SOREP.xml;W.ccECP.dirac;autoauxc_jobs
Y,39,recipes/Y/ccECP,ccECP,gamess=Y.ccECP.gamess;gaussian=Y.ccECP.gaussian;molpro=Y.ccECP.molpro;nwchem=Y.ccECP.nwchem,Y.ccECP.gamess,28,11,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Y.ccECP.dirac;autoauxc_jobs
Zn,30,recipes/Zn/ccECP,ccECP,gamess=Zn.ccECP.gamess;gaussian=Zn.ccECP.gaussian;molpro=Zn.ccECP.molpro;nwchem=Zn.ccECP.nwchem;plain=Zn.ccECP,Zn.ccECP.gamess,10,20,2,d,s-d;p-d,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Zn.ccECP.rpt_deprecated;Zn.ccECP.upf_deprecated;Zn.ccECP.xml;autoauxc_jobs
Zr,40,recipes/Zr/ccECP,ccECP,gamess=Zr.ccECP.gamess;gaussian=Zr.ccECP.gaussian;molpro=Zr.ccECP.molpro;nwchem=Zr.ccECP.nwchem,Zr.ccECP.gamess,28,12,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Zr.ccECP.AREP.rpt;Zr.ccECP.AREP.upf;Zr.ccECP.AREP.xml;Zr.ccECP.SOREP.rpt;Zr.ccECP.SOREP.upf;Zr.ccECP.SOREP.xml;Zr.ccECP.dirac;autoauxc_jobs
