filename,element,orbital_basis,origin,source,n_functions,composition,max_L,sha256_16
P.cc-pV6Z.AutoAuxC.orca,P,cc-pV6Z,library,recipes/P/ccECP/P.cc-pV6Z.AutoAuxC.orca,54,S10 P10 D10 F6 G6 H5 I4 K3,k,6c473b6fd210f01e
P.cc-pVDZ.AutoAuxC.orca,P,cc-pVDZ,library,recipes/P/ccECP/P.cc-pVDZ.AutoAuxC.orca,29,S10 P9 D8 F2,f,611dcd919b130bcf
P.cc-pVQZ.AutoAuxC.orca,P,cc-pVQZ,library,recipes/P/ccECP/P.cc-pVQZ.AutoAuxC.orca,42,S10 P10 D10 F5 G4 H3,h,3ca82fc8bf6e7e71
P.cc-pVTZ.AutoAuxC.orca,P,cc-pVTZ,library,recipes/P/ccECP/P.cc-pVTZ.AutoAuxC.orca,36,S10 P10 D9 F4 G3,g,227d65a6a08a587a
Pb.aug-cc-pV5Z.AutoAuxC.orca,Pb,aug-cc-pV5Z,library,recipes/Pb/ccECP/Pb.aug-cc-pV5Z.AutoAuxC.orca,66,S13 P13 D12 F7 G7 H6 I5 K3,k,c50f2c48424ed1f0
Pb.aug-cc-pVDZ.AutoAuxC.orca,Pb,aug-cc-pVDZ,library,recipes/Pb/ccECP/Pb.aug-cc-pVDZ.AutoAuxC.orca,33,S11 P9 D7 F3 G3,g,d5100cda8fc59fcc
Pb.aug-cc-pVQZ.AutoAuxC.orca,Pb,aug-cc-pVQZ,library,recipes/Pb/ccECP/Pb.aug-cc-pVQZ.AutoAuxC.orca,54,S13 P12 D10 F6 G5 H5 I3,i,b3b9ef2352c2ae72
Pb.aug-cc-pVTZ.AutoAuxC.orca,Pb,aug-cc-pVTZ,library,recipes/Pb/ccECP/Pb.aug-cc-pVTZ.AutoAuxC.orca,39,S11 P9 D8 F4 G4 H3,h,a44155d46192c732
Pb.cc-pV5Z.AutoAuxC.orca,Pb,cc-pV5Z,library,recipes/Pb/ccECP/Pb.cc-pV5Z.AutoAuxC.orca,59,S12 P12 D12 F6 G6 H5 I4 K2,k,641542cf8bb359b9
Pb.cc-pVDZ.AutoAuxC.orca,Pb,cc-pVDZ,library,recipes/Pb/ccECP/Pb.cc-pVDZ.AutoAuxC.orca,27,S9 P8 D7 F2 G1,g,517352879e85bffc
Pb.cc-pVQZ.AutoAuxC.orca,Pb,cc-pVQZ,library,recipes/Pb/ccECP/Pb.cc-pVQZ.AutoAuxC.orca,47,S12 P11 D10 F5 G4 H3 I2,i,f6ece2caa179ac82
Pb.cc-pVTZ.AutoAuxC.orca,Pb,cc-pVTZ,library,recipes/Pb/ccECP/Pb.cc-pVTZ.AutoAuxC.orca,35,S11 P9 D7 F3 G3 H2,h,785a37374993dcd6
Pd.aug-cc-pCV5Z.AutoAuxC.orca,Pd,aug-cc-pCV5Z,library,recipes/Pd/ccECP/Pd.aug-cc-pCV5Z.AutoAuxC.orca,99,S18 P17 D16 F16 G15 H7 I5 K5,k,239d06cb9df53f8e
Pd.aug-cc-pCVDZ.AutoAuxC.orca,Pd,aug-cc-pCVDZ,library,recipes/Pd/ccECP/Pd.aug-cc-pCVDZ.AutoAuxC.orca,79,S17 P15 D14 F14 G14 H5,h,d8f5ebc61a7355c5
Pd.aug-cc-pCVQZ.AutoAuxC.orca,Pd,aug-cc-pCVQZ,library,recipes/Pd/ccECP/Pd.aug-cc-pCVQZ.AutoAuxC.orca,95,S18 P16 D15 F15 G15 H7 I5 K4,k,d0ccf2ef8d016c34
Pd.aug-cc-pCVTZ.AutoAuxC.orca,Pd,aug-cc-pCVTZ,library,recipes/Pd/ccECP/Pd.aug-cc-pCVTZ.AutoAuxC.orca,84,S17 P15 D14 F14 G14 H6 I4,i,238695314f42cf6d
Pd.aug-cc-pV5Z.AutoAuxC.orca,Pd,aug-cc-pV5Z,library,recipes/Pd/ccECP/Pd.aug-cc-pV5Z.AutoAuxC.orca,95,S18 P16 D15 F15 G15 H7 I5 K4,k,44b2927a518149d2
Pd.aug-cc-pVDZ.AutoAuxC.orca,Pd,aug-cc-pVDZ,library,recipes/Pd/ccECP/Pd.aug-cc-pVDZ.AutoAuxC.orca,68,S15 P13 D12 F12 G12 H4,h,eef8a836a812509c
Pd.aug-cc-pVQZ.AutoAuxC.orca,Pd,aug-cc-pVQZ,library,recipes/Pd/ccECP/Pd.aug-cc-pVQZ.AutoAuxC.orca,89,S17 P15 D14 F14 G14 H6 I5 K4,k,12623abd9e55101d
Pd.aug-cc-pVTZ.AutoAuxC.orca,Pd,aug-cc-pVTZ,library,recipes/Pd/ccECP/Pd.aug-cc-pVTZ.AutoAuxC.orca,78,S16 P14 D13 F13 G13 H5 I4,i,94fae1098139497f
Pd.cc-pCV5Z.AutoAuxC.orca,Pd,cc-pCV5Z,library,recipes/Pd/ccECP/Pd.cc-pCV5Z.AutoAuxC.orca,89,S17 P15 D14 F14 G14 H6 I5 K4,k,3656d354a9f26c70
Pd.cc-pCVDZ.AutoAuxC.orca,Pd,cc-pCVDZ,library,recipes/Pd/ccECP/Pd.cc-pCVDZ.AutoAuxC.orca,70,S15 P13 D13 F13 G12 H4,h,045f3c8c5e8ad946
Pd.cc-pCVQZ.AutoAuxC.orca,Pd,cc-pCVQZ,library,recipes/Pd/ccECP/Pd.cc-pCVQZ.AutoAuxC.orca,81,S16 P14 D13 F13 G13 H5 I4 K3,k,8ff06a5350097af0
Pd.cc-pCVTZ.AutoAuxC.orca,Pd,cc-pCVTZ,library,recipes/Pd/ccECP/Pd.cc-pCVTZ.AutoAuxC.orca,77,S16 P14 D13 F13 G13 H5 I3,i,e43c9bf90b078392
Pd.cc-pV5Z.AutoAuxC.orca,Pd,cc-pV5Z,library,recipes/Pd/ccECP/Pd.cc-pV5Z.AutoAuxC.orca,83,S16 P14 D13 F13 G13 H6 I4 K4,k,4629ea41bf5ed0d8
Pd.cc-pVDZ.AutoAuxC.orca,Pd,cc-pVDZ,library,recipes/Pd/ccECP/Pd.cc-pVDZ.AutoAuxC.orca,59,S13 P12 D11 F11 G10 H2,h,adec43488d7e9750
Pd.cc-pVQZ.AutoAuxC.orca,Pd,cc-pVQZ,library,recipes/Pd/ccECP/Pd.cc-pVQZ.AutoAuxC.orca,79,S15 P14 D13 F13 G12 H5 I4 K3,k,dfcd34b8504fd4bc
Pd.cc-pVTZ.AutoAuxC.orca,Pd,cc-pVTZ,library,recipes/Pd/ccECP/Pd.cc-pVTZ.AutoAuxC.orca,71,S15 P13 D12 F12 G12 H4 I3,i,e40e7faa7d1e6857
